;blade;f_rot;start_idx;end_idx;b0e;b1e;b2e;b0f;b1f;b2f;r2e;r2f;pitch1;pitch2;alpha;gamma1;gamma2;create_time;pitch1_deg;pitch2_deg;alpha_deg;gamma1_deg;gamma2_deg
0;1;0.10465724751439037;8176;17731;-130.25801929916065;56.24593533663281;10854.558489205443;12.978096892448217;890.7053841640484;-2526.0432151354325;0.9989733675272443;0.9674600657243472;0.06306389538796998;-0.22864759942384755;;0.02226825881838384;-0.0821505570285055;20201209_145303;3.6132950453852173;-13.100542442784338;;1.2758772473983715;-4.7068802023821465
1;1;0.10462439840970915;12887;22445;-126.00228767345948;2.16480214037132;10827.570002736371;1.9951810581676002;903.5961954096143;-2517.530950786374;0.9990271852956032;0.9788885085472653;0.002395758204412915;-0.22845207757735578;;0.0008598910795815644;-0.083550449233469;20201209_145303;0.13726683384670038;-13.089339866177756;;0.04926812970097164;-4.7870881174998186
2;1;0.10473397570171764;17731;27279;-120.31309977192984;2.720290442682866;10855.599975131307;9.334028345536392;910.9421949594699;-2523.326819818838;0.9988769033828069;0.9758212180461954;0.002986229391510317;-0.22838902972063213;;0.0010780573282227254;-0.08401329149915687;20201209_145303;0.17109834079146113;-13.085727490080144;;0.061768134980311896;-4.813607025904005
3;1;0.10484378276368211;22445;31983;-132.39330597943308;10.546505540114783;10869.781469871388;15.858073762076462;919.2218870433535;-2531.811207154712;0.9982291274546071;0.9617915050255544;0.011472793410179427;-0.2288418001248332;;0.004165609193684767;-0.08466785385237166;20201209_145303;0.6573426416287844;-13.111669323329298;;0.23867182589903102;-4.851110686171364
4;1;0.1051967178624027;27279;36785;-108.31687956859096;-21.712190762865603;10892.112435152585;5.3278067382706364;916.4071143490664;-2532.6298483680434;0.997814894558536;0.9546724476656947;-0.023688303057918338;-0.22846009616468946;;-0.008573087277481543;-0.08423450805265381;20201209_145303;-1.3572397890455628;-13.089799297389632;;-0.49120171839699367;-4.82628180077781
5;1;0.10585371017254155;31983;41430;-138.4138640004076;-77.74797443508585;10990.527078031053;53.748482577493576;1027.6729494563274;-2566.6393158550673;0.9983930675874098;0.9388769544671631;-0.07551054969161265;-0.22942029469488995;;-0.0302963758830951;-0.09364213365457784;20201209_145303;-4.3264358060422845;-13.144814620664786;;-1.7358544726432816;-5.365299043007278
6;2;0.10485477613505295;6492;16029;9.030515612894252;59.82151152960387;9472.58033316213;-45.57172782119359;679.4899496397456;-1813.8943752077744;0.9991907427509336;0.9460351801892539;0.08781244040717218;-0.1891986161434191;;0.032985581654154106;-0.07179395697418624;20201209_145303;5.031282224075018;-10.840282194733637;;1.889934613567187;-4.113490729164694
7;2;0.10452597470471413;11221;20788;3.4776488006968105;6.094818955804062;9465.723587074412;-34.465451287647184;665.6873829395764;-1813.7869929802366;0.9993799698787872;0.9534205426527249;0.009155421626217828;-0.18932147392788976;;0.003360279045623208;-0.07038419443494363;20201209_145303;0.5245670188450823;-10.847321427264134;;0.19252980730045804;-4.032717285550446
8;2;0.10463534581981794;16029;25586;-10.975360946113701;-10.430735293822455;9486.16407349218;-46.469688469019516;681.9641086799263;-1819.2732164520803;0.9993362899490515;0.9609624368989557;-0.015293945652169802;-0.1894810601212298;;-0.005733494204112435;-0.07195246658872825;20201209_145303;-0.8762785379717851;-10.856465042611077;;-0.3285050197583615;-4.122572661090197
9;2;0.10485477613505295;20788;30325;5.1396577834036465;1.440676823373472;9507.150350377586;-44.01169545004817;691.0300287132465;-1825.1729939349248;0.9992490463302213;0.9602088286569659;0.002084822187485562;-0.18967127592365704;;0.0007893372177672657;-0.07274944897640857;20201209_145303;0.11945151237815474;-10.867363605286855;;0.045225691190663095;-4.168236388250539
10;2;0.10505305179115454;25586;35105;-6.635341136093521;5.597641984732868;9524.381764036625;-40.26389340407725;693.3976180791974;-1826.5041635093517;0.9991797513726235;0.9497004720482912;0.008072598239030006;-0.18947108421544984;;0.0030646799821188175;-0.07286684044467671;20201209_145303;0.46252580880115984;-10.855893465313066;;0.17559322853363685;-4.174962423933146
11;2;0.10557432432432433;30325;39797;21.24985307623112;-60.539347428345266;9579.820946085965;-48.790086478677736;702.5189953907902;-1828.7816423010854;0.9983467991851834;0.9499783250963689;-0.0859623091105156;-0.18862982292819408;;-0.03310969910666978;-0.07339909493426905;20201209_145303;-4.925277509231529;-10.807692744085568;;-1.8970460197602501;-4.205458359813677
12;3;0.10466820180029307;9672;19226;6.363241753232682;30.599490872891185;10344.463914397496;-40.9969579436965;266.0638441599165;-1669.844489906895;0.9989840528044629;0.944733954456131;0.11450499758241102;-0.16004338461467277;;0.018325780544866558;-0.025723245823683835;20201209_145303;6.560653094627845;-9.169810477409722;;1.0499898815038078;-1.4738334210746047
13;3;0.10461345329009311;14424;23983;21.7902728887858;-14.277155220051593;10381.53285835043;-34.23299830386193;279.79439165372025;-1678.5767885480461;0.9991974071377615;0.9500437190693988;-0.05098309120723687;-0.16030139761310877;;-0.008505614677180215;-0.026954427510939037;20201209_145303;-2.9211159527052093;-9.184593533279621;;-0.4873358231669544;-1.5443749355681233
14;3;0.10474494605635278;19226;28773;-0.1151042016538579;3.847176231169156;10412.400067317863;-32.522860344472626;281.4812473345411;-1685.3609833032494;0.9990310503212888;0.9420928944684743;0.013666760180276537;-0.16046923395075668;;0.0022827035931103213;-0.027036566123814006;20201209_145303;0.7830476779472977;-9.19420984707578;;0.13078928176456978;-1.549081131420918
