;TicketID;Titel;Loesung
0;201112-039;ECU misst nicht, legt nichts ab seit 16.12.11;"Messprogramm läuft und logfile schreibt error-Meldung bzgl. Datenbank.
Datenbankausgabe bei Anmeldung:
Didn't find any fields in table 'icing_peak'
Didn't find any fields in table 'measurement_data'

Datenbank repariert:
repair table icing_peak;
 
mysql> repair table measurement_data ;
+-----------------------------+--------+----------+-------------------------------------------------+
| Table                       | Op     | Msg_type | Msg_text                                        |
+-----------------------------+--------+----------+-------------------------------------------------+
| mb_spa_004.measurement_data | repair | info     | Key 1 - Found wrong stored record at 3150488    |
| mb_spa_004.measurement_data | repair | info     | Key 1 - Found wrong stored record at 3150808    |
| mb_spa_004.measurement_data | repair | info     | Key 1 - Found wrong stored record at 10527276   |
| mb_spa_004.measurement_data | repair | info     | Wrong bytesec:  33-  0- 37 at 89760456; Skipped |
| mb_spa_004.measurement_data | repair | error    | 5 when fixing table                             |
| mb_spa_004.measurement_data | repair | error    | Can't copy datafile-header to tempfile, error 9 |
| mb_spa_004.measurement_data | repair | status   | Operation failed                                |

"
1;200904-019;Errorevent MB5000 Spaden-04: Starke Abweichung R1 50-150Hz Edge;Errorevent MB5000 Spaden-04: Starke Abweichung R1 50-150Hz Edge, BAID=1230
2;200907-013;MB5000 Spaden mb_spa_004 HMU n.e.;MB5000 Spaden mb_spa_004 HMU n.e., ECU o.k.
3;201002-005;MB5000 Spaden mb_spa_004 unklare Auswertung;"MB5000 Spaden mb_spa_004 unklare Auswertung

num hist wirft pro RBL 2 x 903 und gleichzeitig 2 x 1000
z.B. BAID 7399 (31.01.2010 11:55)

Vierfachauswertung prüfen
Vergleich Ticket 549 (Salzstiegl) ebenfalls Auswertung zu oft"
4;201005-037;MB5000-004 Spaden - keine Referenzen auf ECU;"Referenzlinien werden nicht angezeigt, sind aber in Db.

https://webvis.bladecontrol.de/ref/webana.jsp?baid=9522&oId=676272&resolution=16&submit_x=Aktualisieren&kd_nr=&ecu_id=invalid&oid=676272&filename=jfreechart-2158676289863252306.png&p_subject=no+subject+%3F&min=0.5&max=10&threshold=0&measurement_id=1&channel_id=1&rtp=theta&rblnr=1-2-3&db_select=cmrblba_mb_spa_004&db_host=192.168.1.20&db_port=3306&chart_type_select=view_tf_rf&data_type_select=af&db_type_select=dbback&db_usr=igus&db_pwd=igus&ref_spec_amount=0&ref_version_select=0&ref_opt=0&rangeId=-1"
5;201006-089;MB5000-004 Spaden - Referenzen fehlen für T > 20°C;"MB5000-004 Spaden - Referenzen fehlen für T > 20°C, z.B. BAID 10384

Bitte referenzbau neu anschieben, wenn ausreichend messungen vorhanden sind."
6;201009-042;MB5000-004 Spaden - ECU n.e., Verbindungfehler, Multibrid im Einsatz;MB5000-004 Spaden - ECU n.e., Verbindungfehler, Multibrid im Einsatz
7;201107-024;MB5000-004 Spaden WP Lehe - ECU n.e., Arbeiten am Stromnetz;MB5000-004 Spaden WP Lehe - ECU n.e., Arbeiten am Stromnetz
8;201111-029;MB5000-004 Spaden WP Lehe - DB defekt;"keine Messung weil div. Datenbanktabellen kaputt waren

MB5000-004 Spaden WP Lehe - Db defekt
Zeit: 11-11-06 18:01
BAID: 18275

https://webvis.bladecontrol.de/ref/protected/webana.jsp?baid=18275&resolution=16&submit=Aktualisieren&kd_nr=&ecu_id=invalid&oid=32618&filename=jfreechart-5412363004558191099.png&p_subject=no+subject+%3F&min=0.5&max=10&threshold=0&measurement_id=1&channel_id=1&rtp=theta&rblnr=1-2-3&db_select=cmrblba_mb_spa_004&db_host=192.168.1.20&db_port=3306&chart_type_select=view_tf_rf&data_type_select=af&db_type_select=dbback&db_usr=igus&db_pwd=igus&ref_spec_amount=0&ref_version_select=0&ref_opt=0&rangeId=-1"
9;201111-030;MB5000-004 Spaden WP Lehe - ;"MB5000-004 Spaden WP Lehe - 
Zeit: 11-11-06 18:01
BAID: 18275

https://webvis.bladecontrol.de/ref/protected/webana.jsp?baid=18275&resolution=16&submit=Aktualisieren&kd_nr=&ecu_id=invalid&oid=32618&filename=jfreechart-5412363004558191099.png&p_subject=no+subject+%3F&min=0.5&max=10&threshold=0&measurement_id=1&channel_id=1&rtp=theta&rblnr=1-2-3&db_select=cmrblba_mb_spa_004&db_host=192.168.1.20&db_port=3306&chart_type_select=view_tf_rf&data_type_select=af&db_type_select=dbback&db_usr=igus&db_pwd=igus&ref_spec_amount=0&ref_version_select=0&ref_opt=0&rangeId=-1"
